date,open,high,low,close,volume
2021-01-01,14000.0,14052.902161164498,13845.610376003066,14000.0,276326
2021-01-04,14076.756379816203,14114.517971632771,14013.61746826546,14076.756379816203,402240
2021-01-05,14063.84260718351,14127.022168601023,13974.194397561656,14063.84260718351,415929
2021-01-06,14162.3496611145,14164.345218137081,14116.21424984822,14162.3496611145,152344
2021-01-07,14386.49559053771,14387.15154256277,14304.659041132787,14386.49559053771,346060
2021-01-08,14359.393537484519,14437.357546336445,14344.927056332399,14359.393537484519,482526
2021-01-11,14332.344916863844,14366.36261088915,14331.877588167941,14332.344916863844,299618
2021-01-12,14567.297333549748,14569.120209296723,14523.683253977699,14567.297333549748,259484
2021-01-13,14686.91240537213,14746.96471539423,14637.833114298299,14686.91240537213,210489
2021-01-14,14624.409803373419,14726.064627916281,14570.725510872238,14624.409803373419,358667
2021-01-15,14711.347264727054,14752.377970349982,14705.315939204233,14711.347264727054,111549
2021-01-18,14649.638741027617,14650.397051731261,14616.143777372796,14649.638741027617,125739
2021-01-19,14587.847675059094,14683.532010719831,14481.661103671955,14587.847675059094,383353
2021-01-20,14630.370389499949,14708.285426488497,14578.834431402645,14630.370389499949,207051
2021-01-21,14355.204405508337,14377.112220611449,14298.569055334292,14355.204405508337,115116
2021-01-22,14112.467271354617,14155.475876376939,14106.55226863901,14112.467271354617,120045
2021-01-25,14039.207546943157,14052.332191582831,13940.198903563176,14039.207546943157,135709
2021-01-26,13902.575344297426,13906.51324354308,13874.091553576842,13902.575344297426,405761
2021-01-27,13953.229459243326,13990.184081965517,13893.154673267167,13953.229459243326,257977
2021-01-28,13832.173585220009,13837.049341898306,13735.115300064725,13832.173585220009,303675
2021-01-29,13641.863724042545,13675.047669675543,13594.260217359842,13641.863724042545,329167
2021-02-01,13849.882249601287,13854.347064867448,13819.20171198119,13849.882249601287,481923
2021-02-02,13824.960484299716,13961.514220389205,13791.815627665745,13824.960484299716,405063
2021-02-03,13840.953347954772,13905.959834774412,13820.428906532585,13840.953347954772,445665
2021-02-04,13648.786638826656,13658.619740353428,13617.177086601876,13648.786638826656,319222
2021-02-05,13580.397050610147,13662.537725199236,13567.000514098716,13580.397050610147,289518
2021-02-08,13602.046717157618,13642.848010219486,13580.874541559486,13602.046717157618,283500
2021-02-09,13450.727560832796,13553.676122879662,13336.399243280519,13450.727560832796,368591
2021-02-10,13508.066271495802,13590.381850805294,13435.693891930021,13508.066271495802,105499
2021-02-11,13432.722620929946,13447.058215333049,13419.918845834247,13432.722620929946,139041
2021-02-12,13399.626995989058,13499.502866923865,13336.560942640748,13399.626995989058,393459
2021-02-15,13324.743956006516,13334.64873501556,13255.953372791711,13324.743956006516,232371
2021-02-16,13579.851505648518,13602.73939281062,13552.832554406725,13579.851505648518,482650
2021-02-17,13584.470708948927,13626.134461527243,13461.578363391603,13584.470708948927,236066
2021-02-18,13446.119210212526,13466.454427522502,13431.459854698809,13446.119210212526,326486
2021-02-19,13563.996818387783,13590.322964046109,13506.51029883305,13563.996818387783,312235
2021-02-22,13403.551597365298,13414.97251051349,13359.85006204367,13403.551597365298,357831
2021-02-23,13438.150689603941,13448.93977637483,13364.93742484305,13438.150689603941,453791
2021-02-24,13179.124586118112,13179.32530551358,13127.412211329838,13179.124586118112,394499
2021-02-25,13008.973302621815,13037.393887547449,12984.873652807,13008.973302621815,435949
2021-02-26,13040.98012821475,13118.616100260857,12949.330270384835,13040.98012821475,430511
2021-03-01,13144.25470130034,13206.660608344908,13143.228244503123,13144.25470130034,472050
2021-03-02,13173.217020233616,13271.021436190089,13113.787555120145,13173.217020233616,479553
2021-03-03,13164.134948011755,13332.235760343898,13104.385823735027,13164.134948011755,439499
2021-03-04,13130.452540527465,13191.79275678845,13030.708113252642,13130.452540527465,216220
2021-03-05,12941.03380794344,13029.4779251812,12907.982919511112,12941.03380794344,321421
2021-03-08,12853.30450576793,12867.749396532368,12787.072675344136,12853.30450576793,449317
2021-03-09,12799.749773846412,12874.6355435498,12757.649185436925,12799.749773846412,364140
2021-03-10,12942.223545553257,13058.831713792631,12886.926262983203,12942.223545553257,351071
2021-03-11,12993.209917900758,13028.386612352177,12922.271285979217,12993.209917900758,406531
2021-03-12,12768.510750631645,12816.977154760254,12711.675076705877,12768.510750631645,103089
2021-03-15,12816.298815540275,12853.242463370176,12805.287093904979,12816.298815540275,460971
2021-03-16,12772.658368530663,12938.130858610572,12737.325924406472,12772.658368530663,382803
2021-03-17,12691.596155996252,12726.259725694628,12616.995296107461,12691.596155996252,407322
2021-03-18,12775.884954748546,12800.913169237709,12718.708408091592,12775.884954748546,195965
2021-03-19,12914.729297961181,13010.228010792885,12876.16409412195,12914.729297961181,181268
2021-03-22,13042.102259461168,13054.059253581398,12980.260001217928,13042.102259461168,447186
2021-03-23,12937.995933224818,12938.986327056511,12908.031127607705,12937.995933224818,468615
2021-03-24,12903.834742082834,12941.210150974564,12815.628140461751,12903.834742082834,301798
2021-03-25,12953.06302686039,12960.807687104609,12898.130756688246,12953.06302686039,432255
2021-03-26,13086.5930596276,13150.263845868998,13005.945404343205,13086.5930596276,337103
2021-03-29,13029.62146822578,13107.575836857553,12993.640172601336,13029.62146822578,344754
2021-03-30,13011.444154491648,13021.757647923027,12970.742344719361,13011.444154491648,265637
2021-03-31,12872.551959359089,12874.309354876928,12827.70580217633,12872.551959359089,462579
2021-04-01,12723.48215630234,12782.854247423922,12686.455133098358,12723.48215630234,189242
2021-04-02,12833.73979375073,12862.18463908563,12817.02755255614,12833.73979375073,475348
2021-04-05,13015.283375330811,13072.86316560242,12980.217478066623,13015.283375330811,253956
